天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
欧邦,欧邦,Outbound欧邦户外运动手表品牌创建于1975年，是全球最大的户外运动手表品牌之一。其产品分为6大系列，30多个品类，涵盖了各种运动需求。时尚简约的风格，强大的功能，精准的测量不断诠释着Outbound欧邦健康、快乐、时尚的户外运动品牌理念。户外运动，是一项在自然场地举行的一组集体项目群。其中包括登山、攀岩、悬崖速降、在野外露营、野炊、定向运动、溪流、探险等项目，户外休闲运动中多数带有探险性，属于极限和亚极限运动，有很大的挑战性和刺激性，拥抱自然，挑战自我。户外运动手表是户外运动的必备装备，它不仅有时间显示功能，还可以显示高度、气压、天气、心律、GPS定位、计时、温度等功能，提供你所而要的数据支持，让你的户外活动更加安全。
VAUDE,VAUDE,VAUDE公司创建于1975年，她坐落于Constance湖畔，风景秀丽的小-Untereisenbach。在这里可以观赏到瑞士，奥地利和德国阿尔卑斯山迷人风光。自创立伊始，VAUDE公司出于对周围环境的缜密考察，将公司建立在一个真正的适合户外运动的胜地，致力于为登山和休闲享受自然的人们服务。
克卜勒,克卜勒,《克卜勒》为新加坡女歌手孙燕姿发行的第十二张中文专辑，专辑共收录10首歌曲，于2014年2月27日正式发行。 该专辑获得中国信诺榜等榜单销量第一位，同名主打歌在iTunes上架第一天即登台湾、香港、马来西亚、新加坡等地区榜首。 
奥力给,奥力给,奥力给，网络词语，是快手主播网络红人双叶湖雷哥发明的，一般解释为给力，骨气的意思。由于很多网友模仿拼句，而成为网络流行语。
蓝色领域,蓝色领域,《蓝色领域》是茅厕先生创作的网络小说，发表于起点网。
TOMY,TOMY,TAKARATOMY是一个日本玩具品牌，2006年3月1日和玩具巨头TAKARA合并成立TAKARATOMY股份公司。
紫荆侠,紫荆侠,2011年平安夜，一名年轻女子以一席性感紧身衣、黑绸披风、面戴蓝色眼罩的装扮，出现在北京王府井书店、西单地铁站等地，为流浪老人送上衣食。此后，该女子将相关照片发布在微博中，自称为“北京紫荆侠”，并在微博中表示将不停止帮助那些需要帮助的人。“北京紫荆侠”此举引发了网友的热烈讨论。
MIKASA,三笠·阿克曼,三笠·阿克曼，动漫作品《进击的巨人》中女主角，艾伦·耶格尔的青梅竹马，在儿时被艾伦救过一条命。无家可归时被艾伦父子带回了家，后二人经常一起活动，互相视对方为最重要的人。由于身为耶格尔家养女之故，与艾伦经常一起行动。流着东洋人血统，是个沉默寡言、表情稀少的少女，与阿明·阿诺德也是旧识，小时候曾居住在同一个地区，三个人关系很要好。以第104期训练兵团首席的身份毕业，性格沉稳冷静，有以一敌百的战斗力。目前与艾伦一同加入调查兵团，并且参与作战。 
马盖先,马盖先,马盖先MagForce是台湾的厂商，全称“台湾马盖先国际开发有限责任公司”，给军队和警察生产军警产品，也出民用的产品，就像美国的黑鹰一样。
Ganesha,伽内什,伽内什（Ganesha）象头神。印度神话中的智慧、财富之神，在普通百姓中人气极高。湿婆与帕凡提的儿子，特征是大腹便便的肚子和一支象牙。
阿尔派妮,阿尔派妮,1996年，ALPINEPRO阿尔派妮在捷克首都布拉格成立，产品线涵盖户外服装、滑雪服、鞋、背包、配件等，并配备丰富的成人款和儿童款，为全家出行提供整套装备。发展至今，在全球20多个国家开设直营店300多家、以及加盟店数千家，并成为捷克和斯洛伐克奥林匹克国家队的官方赞助商。ALPINEPRO相信，全家一起出行时“行愈远，心愈近（Near，Far，Together）”，希望成为家庭户外文化的倡导者，让更多的家庭将户外运动作为业余生活的一部分，拥有更加温馨幸福、亲密无间的亲情体验。
猎神,猎神,多数土家人尊媒山为猎神。她是一位美丽勇敢而又善射猎的姑娘。媒山神位设置在堂屋内（意念神位）或室外（在僻静处砌石小屋），祭祀时间多在出猎前一天晚上的夜深人静时刻。祭祀时必须衣冠整洁，而且不得出语粗俗，以免惹恼了这位猎神姑娘。人们祭猎神，目的是祈求她保佑猎人平安，保佑捕获到丰足的猎物。在长阳、五峰、鹤峰等县，人们敬奉的猎神叫张五郎。酉阳、黔江、秀山等地以山神为猎神。
BURTON,Burton,1977年单板滑雪运动创始人之一的JakeBurton（译音：杰克.波顿）在美国维蒙德州的伯灵顿市创建了世界上第一家单板品牌公司“BURTON”及单板生产工厂。初期主要是为了单板爱好者设计及生产单板，经过30多年的发展BURTON已近发展成为旗下包括四个不同品牌的世界第一单板滑雪品牌。经营范围也从之前单一的单板制造商变为包括单板、固定器、雪鞋、滑雪服、箱包、功能性户外服饰及功能性休闲服饰等各个领域。在现阶段的全球单板产业链里BURTON是不可忽视的主导品牌，目前为止BURTON这一个品牌的市场占有率可以达到全球单板产业的70%。所以称BURTON为世界第一单板滑雪品牌毫不为过。
KENZO,KENZO,KENZO是由高田贤三在法国创立的品牌，结合了东方文化的沉稳意境、拉丁民族的热情活泼，大胆创新的融合了缤纷色彩与花朵，创造出活泼明亮、优雅独特的作品。KENZO自1970年起开始在时尚界崭露头角，并于1993年加入LVMH集团，自此KENZO旗下的服装、饰品、餐具以及香水均受到广大的欢迎。
GSA,GSA,GSA为广视（国际）资本有限公司独资子公司旗下安防品牌。公司成立于1996年，是一家集生产、研发、销售和服务于一体的现代化安防企业。总部设立在世界500强企业云集的广州科学城(广东软件园)内，作为现代化的高科技企业，GSA品牌先后通过了ISO9001国际质量认证体系和ISO14001国际环境管理体系认证，GSA品牌产品通过了ROHS和CE、FCC及中国公安部CMA认证，多款产品获得了实用性专利证书，先后被评为平安城市建设推荐品牌、平安城市建设优秀安防产品、安防行业十大畅销品牌、中国安防产业百强企业、安防行业质量信得过品牌等称号。产品广泛运用于金融、地产、政府、交通、机场、港口、邮政、电力、学校等行业；产品远销于加拿大、印度、欧美、中东、非洲等几十个国家和地区。
KMC,kmc,kmc即卡拉ok媒体歌词（KaraokeMediaLyric），用于媒体播放时，显示卡拉ok式的歌词信息或字幕信息，kmc将采用标准的xml为数据格式，仅包含卡拉ok歌词或字幕的基本数据，支持跨平台且易于移植扩展。
Tri-polar,tri-polar,Tri-polar始终坚持“面料创新，设计人性”的户外服装生产设计理念，自成立以来，为国内外广大客户群生产出了一批批质优价廉时尚户外功能服装。也正是由于tri-polar产品品质可靠、广泛应用最新科技材料、产品性价比具有竞争优势而深受国内外户外运动爱好者的欢迎。
特步,特步,特步 成立于2001年，是一家大型运动时尚 体育用品企业。特步采用差异化营销战略，首创偶像艺人代言体育用品并取得了空前成功。目前，公司已有员工5800人，经销网点遍布全国各地。2008年在香港上市，进入全新的发展阶段。
迪士尼,迪士尼,全球闻名遐迩的迪士尼，全称为TheWaltDisneyCompany，取名自其创始人华特·迪士尼，是总部设在美国伯班克的大型跨国公司，主要业务包括娱乐节目制作，主题公园，玩具，图书，电子游戏和传媒网络。皮克斯动画工作室（PIXARAnimationStudio）、惊奇漫画公司（MarvelEntertainmentInc）、试金石电影公司（TouchstonePictures）、米拉麦克斯（Miramax）电影公司、博伟影视公司（BuenaVistaHomeEntertainment）、好莱坞电影公司（HollywoodPictures）、ESPN体育，美国广播公司（ABC）都是其旗下的公司（品牌）。迪士尼于2012年11月收购了卢卡斯影业。2017年6月，《2017年BrandZ最具价值全球品牌100强》公布，迪士尼排名第18位。 
自由之魂,自由之魂,自由之魂的成长，需要很多很多的元素能量，赶紧来喂饱这个自由之魂吧，调整能量元素的位置，然后拖动箭头。
Rodman,rodman,RODMAN(罗德曼)吉他是绿洲音乐网，绿洲琴行通过中国商标局(2008年)注册的自主品牌。
夏海,夏海,夏海解释大海。《吕氏春秋·求人》：“北至人正之国，夏海之穷，衡山之上。”高诱注：“夏海，大冥也。”《晋书·石勒载记上》：“今山川夷静，星晨不孛，夏海重译，天人系仰。”
天鹰,天鹰,这架无人机花费14个月建造，翼展为42米，超过波音737客机，重量约400公斤，相当于一辆小型轿车。它的飞行高度在2万米到3万米之间，以太阳能为动力来源，单次可持续飞行3个月，向地面中继高速互联网连接。2017年11月13日下午，中国首个由科研院校（北航长鹰航空科技（台州）有限公司）与地方合作的大型无人机——“天鹰”在台州“北航台州通用航空产业园”总装下线。“天鹰”采用碳纤维复合材料，没有一根螺丝的机翼翼展长达18米，总重仅400公斤左右，最大续航时间40小时，最高飞行高度可达7500米，可广泛应用于陆地和海洋环境下的长时间侦察作业。 
三奇,三奇,三奇是一个词语，在奇门遁甲中指“丙、乙、丁”三天干。乙乃甲之妹，甲以妹乙嫁于庚，乙与庚合而能救甲，故乙为一奇。丙为甲之子，丙火能克庚金而救甲，故丙为二奇。丁为甲之女，丁火亦能克庚金而救甲，故丁为三奇。三奇者，乃乙丙丁，然不如见卯巳午为贵。查法：天干有乙丙丁或地支有卯巳午，顺行为妙。
RSL,rsl,RSL（RuntimeSharedLibrary），即运行时加载库。当前L主要有3个级别的RSL，一个是StandardRSL（即一个网站内共享），一个是Cross-domainRSL（跨域共享），最后一个也是最关键的是FrameworkRSL（Flex框架共享）。
wdp,WDP,WDP意为无线数据报协议，作为一个通用的传送服务，WDP提供给其上的协议一个不可见的独立于下面使用的网络技术的平台。
森森来了,森森来了,《森森来了》是律绿的森林创作的网络小说，发表于晋江文学网。
老美华,老美华,天津老美华鞋店，是创建于1911年的著名鞋店。现在老美华又根据顾客的需求，生产了许多典雅、大方、轻软、耐磨的鞋子，如呢子面、清水毡里的骆驼鞍鞋，棉篓鞋，牛筋底猪皮鞋等，依然保持了自己的销货个性和好的服务传统，受到各阶层中老年人的赞许。
VANWALK,vanwalk,VANWALK，著名时尚男士新锐品牌，中文译称“出走”，VANWALK崇尚愉快、轻松和自由，融合了西方与东方的魅力。不论是以西方的角度或是以东方的观点，都可以感受到对于世界融合的热情与渴望。或者年轻、性感与真实不仅仅是一种生理、心灵的状态，而是一种崇尚自由的时尚精神，VANWALK就是最好的印证！
